ticker,date,price,target,stop loss
RESPONIND,2022-02-04,198.75,309.9499969482422,192.25
BLS,2022-02-04,253.1999969482422,331.20001220703125,229.04998779296875
DALMIASUG,2022-02-04,438.79998779296875,508.3999938964844,417.14996337890625
DHAMPURSUG,2022-02-04,374.5,451.75,353.0
JINDWORLD,2022-02-04,327.6499938964844,437.1499938964844,303.54998779296875
PANACEABIO,2022-02-04,264.95001220703125,364.6000213623047,243.85000610351562
RUPA,2022-02-04,519.5499877929688,626.7000122070312,483.8499755859375
TEXRAIL,2022-02-04,44.650001525878906,76.10000228881836,38.70000076293945
TRIVENI,2022-02-04,262.29998779296875,313.1499938964844,245.99998474121094
VOLTAMP,2022-02-04,2051.89990234375,2253.949951171875,1991.699951171875
JINDALSTEL,2022-02-05,424.3999938964844,464.1499938964844,411.9499816894531
HINDALCO,2022-02-05,525.1500244140625,553.9500122070312,517.6500244140625
ITC,2022-02-05,234.3000030517578,250.35000610351562,230.90000915527344
SBIN,2022-02-05,530.2999877929688,555.0,522.75
RAIN,2022-02-05,228.0500030517578,245.85000610351562,223.3000030517578
INDIANB,2022-02-05,168.4499969482422,188.6999969482422,162.10000610351562
ACE,2022-02-05,237.0500030517578,263.8000030517578,228.5
HBLPOWER,2022-02-05,75.05000305175781,89.45000457763672,70.4000015258789
JINDALPOLY,2022-02-05,1256.449951171875,1465.0,1194.5
TEJASNET,2022-02-05,482.6000061035156,539.5500183105469,469.1499938964844
USHAMART,2022-02-05,92.0999984741211,99.4000015258789,90.0999984741211
JINDALSTEL,2022-02-06,424.3999938964844,464.1499938964844,411.9499816894531
HINDALCO,2022-02-06,525.1500244140625,553.9500122070312,517.6500244140625
ITC,2022-02-06,234.3000030517578,250.35000610351562,230.90000915527344
SBIN,2022-02-06,530.2999877929688,555.0,522.75
GRINDWELL,2022-02-06,1855.699951171875,2013.699951171875,1820.699951171875
RAIN,2022-02-06,228.0500030517578,245.85000610351562,223.3000030517578
JSLHISAR,2022-02-06,421.6499938964844,451.5,413.6499938964844
JINDALPOLY,2022-02-06,1256.449951171875,1465.0,1194.5
TEJASNET,2022-02-06,482.6000061035156,539.5500183105469,469.1499938964844
CHOLAFIN,2022-02-07,642.75,783.4000244140625,605.3499755859375
IIFLWAM,2022-02-07,1638.800048828125,2030.800048828125,1511.25
OIL,2022-02-07,231.1999969482422,303.1999969482422,219.59999084472656
TATAPOWER,2022-02-07,252.85000610351562,352.6499938964844,241.25001525878906
GAIL,2022-02-07,147.39999389648438,171.5,142.24998474121094
HINDALCO,2022-02-07,512.6500244140625,623.9500427246094,481.95001220703125
GRINDWELL,2022-02-07,1924.4000244140625,2103.1500244140625,1865.5
GMMPFAUDLR,2022-02-07,5049.25,5730.25,4824.25
DCMSHRIRAM,2022-02-07,1114.199951171875,1308.14990234375,1051.800048828125
EIHOTEL,2022-02-07,147.39999389648438,179.0999984741211,137.44998168945312
WELCORP,2022-02-07,189.25,221.0,179.0500030517578
NATIONALUM,2022-02-07,116.80000305175781,149.0999984741211,107.1500015258789
INOXLEISUR,2022-02-07,414.3500061035156,514.4499816894531,385.1000061035156
SPARC,2022-02-07,333.75,601.75,298.6000061035156
CHALET,2022-02-07,251.0500030517578,296.79998779296875,236.80001831054688
BOMDYEING,2022-02-07,123.94999694824219,214.75,104.74999237060547
HSCL,2022-02-07,66.19999694824219,106.64999771118164,53.79999542236328
GMDCLTD,2022-02-07,122.69999694824219,218.94999504089355,108.04999542236328
ELECTCAST,2022-02-07,39.900001525878906,47.0,37.80000305175781
HGINFRA,2022-02-07,586.2000122070312,696.2000122070312,556.2999877929688
KCP,2022-02-07,138.5500030517578,158.00000762939453,132.14999389648438
ORISSAMINE,2022-02-07,2905.300048828125,3605.050048828125,2675.300048828125
TEXRAIL,2022-02-07,45.20000076293945,79.0,36.900001525878906
BANKBARODA,2022-02-08,112.94999694824219,194.14999389648438,98.1500015258789
FEDERALBNK,2022-02-08,99.5,118.75,95.10000610351562
LAXMIMACH,2022-02-08,11171.2001953125,13973.4501953125,10476.2001953125
LINDEINDIA,2022-02-08,2740.5,3366.800048828125,2536.949951171875
